uke_start,horisont,faktisk,xgb_pred,lgbm_pred,ensemble_pred
2025-04-28,12,75.35,111.452835,113.20802307652609,112.33042907976696
2025-05-05,12,74.31,109.241745,111.91696895158337,110.57935697335029
2025-05-12,12,77.06,110.76844,112.16909120575716,111.4687657261696
2025-05-19,12,75.89,111.49803,110.41392536130105,110.95597848875599
2025-05-26,12,70.42,109.17284,108.43625162630286,108.8045439650069
2025-06-02,12,72.42,109.42894,108.52579851869356,108.97736916901475
2025-06-09,12,82.73,100.34849,99.65083282584192,99.99966033992291
2025-06-16,12,76.33,99.55373,95.15400114957632,97.35386367293269
2025-06-23,12,68.74,89.646034,88.33312089387671,88.98957756729968
2025-06-30,12,70.28,88.295296,86.13213103866416,87.2137133769981
2025-07-07,12,67.29,90.08493,91.83449788888102,90.95971415440144
2025-07-14,12,68.13,91.70657,88.0326706866627,89.86962208649541
2025-07-21,12,65.1,82.04164,82.96342780344901,82.50253451940029
2025-07-28,12,60.58,80.73857,76.66616902388331,78.70237009543774
2025-08-04,12,62.05,80.41174,77.22324391102538,78.81749353754394
2025-08-11,12,64.38,80.34074,82.45188207700004,81.3963092330801
2025-08-18,12,65.13,77.61381,72.40751982553166,75.01066375187716
2025-08-25,12,65.86,78.79608,73.76206296218714,76.27907225257795
2025-09-01,12,70.2,78.151054,74.90017860692559,76.5256164946249
2025-09-08,12,74.99,79.334854,83.67605622777874,81.50545517687766
2025-09-15,12,77.4,76.72963,75.10098480192443,75.915307159263
2025-09-22,12,79.91,73.3087,74.48202056083859,73.89536056118101
2025-09-29,12,77.68,73.26644,74.11964062970964,73.69304098746224
2025-10-06,12,75.38,78.5345,79.31970311134688,78.9271016167086
2025-10-13,12,73.74,72.79293,73.5365647059258,73.16474765447657
2025-10-20,12,78.25,79.529305,72.25924001782501,75.89427226110976
2025-10-27,12,80.55,77.12795,75.41048175198668,76.26921716383514
2025-11-03,12,78.08,74.020065,75.33152242629998,74.67579386695859
2025-11-10,12,80.1,75.09344,72.57961430334689,73.83652574908555
2025-11-17,12,84.54,78.59319,74.05397089314233,76.32358197367077
2025-11-24,12,82.5,70.867836,76.80131869868802,73.83457734861159
